                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 2.5419,                 2.1745,                 1.4515,                0.11403,                0.09343,                0.05807,                0.02177,                 2.6083,                 2.2401,                 1.4135,              0.0001901,              0.0001901,              0.0001901
                     59,                 2.5218,                 2.1532,                 1.4704,                0.16034,                0.07054,                0.05431,                0.02187,                 2.5515,                 2.2127,                 1.3987,             0.00018879,             0.00018879,             0.00018879
                     60,                 2.5547,                 2.1441,                 1.4681,                0.05448,                0.08993,                0.06643,                0.02465,                 2.6161,                 2.2529,                  1.399,             0.00018749,             0.00018749,             0.00018749
                     61,                 2.5819,                 2.1975,                 1.4507,                0.04292,                0.09039,                0.05797,                0.01911,                 2.7722,                 2.4153,                 1.4588,             0.00018619,             0.00018619,             0.00018619
                     62,                 2.5443,                 2.0934,                 1.4499,                0.05427,                0.09601,                0.06984,                0.02545,                 2.5649,                 2.2301,                  1.384,             0.00018489,             0.00018489,             0.00018489
                     63,                 2.5263,                 2.1604,                 1.4436,                0.03662,                0.11178,                0.05714,                 0.0216,                 2.6494,                 2.2809,                 1.4011,             0.00018359,             0.00018359,             0.00018359
                     64,                 2.4998,                 2.0714,                 1.4286,                  0.068,                0.09395,                0.06397,                0.02365,                 2.6201,                 2.2461,                 1.4009,             0.00018229,             0.00018229,             0.00018229
                     65,                 2.4801,                 2.0718,                 1.4374,                0.15545,                0.11163,                0.06602,                0.02546,                 2.5874,                 2.2423,                  1.388,             0.00018098,             0.00018098,             0.00018098
                     66,                 2.5254,                 2.1226,                 1.4223,                0.08657,                0.10481,                0.06398,                0.02295,                 2.6026,                 2.2458,                 1.3951,             0.00017968,             0.00017968,             0.00017968
                     67,                 2.5277,                 2.0549,                 1.4292,                0.08688,                0.13173,                0.07384,                0.02937,                 2.5686,                 2.2319,                 1.3758,             0.00017838,             0.00017838,             0.00017838
